,precision,recall,f1-score,support
bug,0.7283950617283951,0.59,0.6519337016574586,100.0
electric,0.8024691358024691,0.65,0.7182320441988951,100.0
fire,0.6642857142857143,0.93,0.775,100.0
grass,0.8461538461538461,0.66,0.7415730337078652,100.0
normal,0.6181818181818182,0.68,0.6476190476190476,100.0
poison,0.743801652892562,0.9,0.8144796380090498,100.0
water,0.7078651685393258,0.63,0.6666666666666666,100.0
accuracy,0.72,0.72,0.72,0.72
macro avg,0.7301646282263043,0.72,0.716500590265569,700.0
weighted avg,0.7301646282263043,0.72,0.716500590265569,700.0
