Name,Type1,Type2,Path
Bulbasaur,"grass","poison","./dataset/Bulbasaur/"
Ivysaur,"grass","poison","./dataset/Ivysaur/"
Venusaur,"grass","poison","./dataset/Venusaur/"
Charmander,"fire","","./dataset/Charmander/"
Charmeleon,"fire","","./dataset/Charmeleon/"
Charizard,"fire","flying","./dataset/Charizard/"
Squirtle,"water","","./dataset/Squirtle/"
Wartortle,"water","","./dataset/Wartortle/"
Blastoise,"water","","./dataset/Blastoise/"
Caterpie,"bug","","./dataset/Caterpie/"
Metapod,"bug","","./dataset/Metapod/"
Butterfree,"bug","flying","./dataset/Butterfree/"
Weedle,"bug","poison","./dataset/Weedle/"
Kakuna,"bug","poison","./dataset/Kakuna/"
Beedrill,"bug","poison","./dataset/Beedrill/"
Pidgey,"normal","flying","./dataset/Pidgey/"
Pidgeotto,"normal","flying","./dataset/Pidgeotto/"
Pidgeot,"normal","flying","./dataset/Pidgeot/"
Rattata,"normal","","./dataset/Rattata/"
Raticate,"normal","","./dataset/Raticate/"
Spearow,"normal","flying","./dataset/Spearow/"
Fearow,"normal","flying","./dataset/Fearow/"
Ekans,"poison","","./dataset/Ekans/"
Arbok,"poison","","./dataset/Arbok/"
Pikachu,"electric","","./dataset/Pikachu/"
Raichu,"electric","","./dataset/Raichu/"
Sandshrew,"ground","","./dataset/Sandshrew/"
Sandslash,"ground","","./dataset/Sandslash/"
Nidoran,"poison","","./dataset/Nidoran/"
Nidorina,"poison","","./dataset/Nidorina/"
Nidoqueen,"poison","ground","./dataset/Nidoqueen/"
Nidoran,"poison","","./dataset/Nidoran/"
Nidorino,"poison","","./dataset/Nidorino/"
Nidoking,"poison","ground","./dataset/Nidoking/"
Clefairy,"normal","","./dataset/Clefairy/"
Clefable,"normal","","./dataset/Clefable/"
Vulpix,"fire","","./dataset/Vulpix/"
Ninetales,"fire","","./dataset/Ninetales/"
Jigglypuff,"normal","","./dataset/Jigglypuff/"
Wigglytuff,"normal","","./dataset/Wigglytuff/"
Zubat,"poison","flying","./dataset/Zubat/"
Golbat,"poison","flying","./dataset/Golbat/"
Oddish,"grass","poison","./dataset/Oddish/"
Gloom,"grass","poison","./dataset/Gloom/"
Vileplume,"grass","poison","./dataset/Vileplume/"
Paras,"bug","grass","./dataset/Paras/"
Parasect,"bug","grass","./dataset/Parasect/"
Venonat,"bug","poison","./dataset/Venonat/"
Venomoth,"bug","poison","./dataset/Venomoth/"
Diglett,"ground","","./dataset/Diglett/"
Dugtrio,"ground","","./dataset/Dugtrio/"
Meowth,"normal","","./dataset/Meowth/"
Persian,"normal","","./dataset/Persian/"
Psyduck,"water","","./dataset/Psyduck/"
Golduck,"water","","./dataset/Golduck/"
Mankey,"fighting","","./dataset/Mankey/"
Primeape,"fighting","","./dataset/Primeape/"
Growlithe,"fire","","./dataset/Growlithe/"
Arcanine,"fire","","./dataset/Arcanine/"
Poliwag,"water","","./dataset/Poliwag/"
Poliwhirl,"water","","./dataset/Poliwhirl/"
Poliwrath,"water","fighting","./dataset/Poliwrath/"
Abra,"psychic","","./dataset/Abra/"
