,precision,recall,f1-score,support
bug,0.7142857142857143,0.55,0.6214689265536724,100.0
electric,0.8375,0.67,0.7444444444444445,100.0
fire,0.6838235294117647,0.93,0.788135593220339,100.0
grass,0.8873239436619719,0.63,0.7368421052631579,100.0
normal,0.5641025641025641,0.66,0.6082949308755761,100.0
poison,0.7317073170731707,0.9,0.8071748878923767,100.0
water,0.65625,0.63,0.6428571428571429,100.0
accuracy,0.71,0.71,0.71,0.71
macro avg,0.7249990097907408,0.7100000000000001,0.7070311473009585,700.0
weighted avg,0.7249990097907408,0.71,0.7070311473009585,700.0
